Date,AXISBANK.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,PNB.NS,SBIN.NS
2024-03-28,1045.498779296875,704.6723022460938,1075.66845703125,356.2982482910156,119.48544311523438,712.53271484375
2024-04-01,1051.3892822265625,715.67138671875,1081.916015625,357.3359375,120.63803100585938,718.1678466796875
2024-04-02,1045.498779296875,720.367919921875,1063.7635498046875,350.6908874511719,121.69457244873047,725.8391723632812
2024-04-03,1061.5228271484375,721.414306640625,1059.827880859375,345.4526672363281,129.8107452392578,730.2430419921875
2024-04-04,1061.2232666015625,743.4611206054688,1061.451416015625,349.0445556640625,129.76272583007812,719.1149291992188
2024-04-05,1057.3795166015625,754.1439208984375,1065.9281005859375,356.2284240722656,131.15545654296875,724.2764892578125
2024-04-08,1074.3021240234375,752.7081298828125,1069.6175537109375,356.8769226074219,127.64962768554688,727.6386108398438
2024-04-09,1078.24560546875,753.6572875976562,1089.1966552734375,355.3204345703125,127.26544189453125,723.755615234375
2024-04-10,1086.0330810546875,747.7196655273438,1091.5087890625,364.3700866699219,130.9153289794922,737.8196411132812
2024-04-12,1071.706298828125,739.251220703125,1086.58935546875,361.79583740234375,129.52259826660156,725.7444458007812
2024-04-15,1056.2314453125,727.4491577148438,1060.95947265625,358.82257080078125,127.60161590576172,717.41015625
2024-04-16,1050.19140625,734.5304565429688,1049.841796875,357.7150573730469,123.47148895263672,711.9171752929688
2024-04-18,1022.3366088867188,727.4491577148438,1038.4288330078125,356.5476989746094,124.4319839477539,705.38232421875
2024-04-19,1027.4283447265625,745.2619018554688,1050.03857421875,357.72503662109375,123.18334197998047,710.7332763671875
2024-04-22,1052.2379150390625,735.9661254882812,1069.125732421875,361.1772766113281,127.84174346923828,725.5549926757812
2024-04-23,1054.0350341796875,733.7274169921875,1072.6676025390625,361.79583740234375,127.60161590576172,732.08984375
2024-04-24,1061.5228271484375,735.7227783203125,1079.062744140625,367.7325134277344,127.74568939208984,732.1845092773438
2024-04-25,1125.1693115234375,735.260498046875,1095.78857421875,327.7524719238281,130.53111267089844,769.6887817382812
2024-04-26,1128.4639892578125,734.7981567382812,1090.032958984375,320.9777526855469,131.05938720703125,758.8921508789062
2024-04-29,1157.366943359375,744.3858642578125,1141.4403076171875,327.3433837890625,131.82778930664062,782.7584228515625
2024-04-30,1164.0062255859375,739.8109741210938,1131.8475341796875,324.060791015625,135.47767639160156,782.5216674804688
2024-05-02,1147.982177734375,745.7242431640625,1121.0740966796875,314.4224853515625,132.59619140625,786.1205444335938
2024-05-03,1139.645751953125,739.567626953125,1123.63232421875,308.64544677734375,130.43507385253906,787.4464721679688
2024-05-06,1141.792236328125,741.0520629882812,1127.813720703125,324.130615234375,122.07877349853516,765.048095703125
2024-05-07,1125.8681640625,733.021728515625,1113.6458740234375,328.0418395996094,117.4684066772461,759.4603881835938
2024-05-08,1126.816650390625,721.5845947265625,1104.8895263671875,328.9298400878906,119.86963653564453,767.8892822265625
2024-05-09,1113.8377685546875,704.4776000976562,1097.7071533203125,327.8822021484375,117.32432556152344,776.4130249023438
2024-05-10,1118.280517578125,709.3616333007812,1099.035400390625,324.8589782714844,119.00519561767578,774.0927124023438
2024-05-13,1130.1612548828125,717.9208984375,1109.808837890625,327.5030212402344,118.23680114746094,765.9951782226562
2024-05-14,1121.026123046875,720.7328491210938,1102.47900390625,328.5207824707031,120.78211212158203,774.897705078125
2024-05-15,1126.2176513671875,709.6575317382812,1106.2176513671875,329.41876220703125,119.38939666748047,776.8865356445312
2024-05-16,1137.449462890625,720.3875122070312,1112.8096923828125,333.6591796875,120.205810546875,768.978515625
2024-05-17,1139.4959716796875,722.286865234375,1112.2684326171875,338.5481872558594,120.15778350830078,774.566162109375
2024-05-21,1135.802001953125,719.6722412109375,1102.8724365234375,338.8874206542969,121.40642547607422,786.6888427734375
2024-05-22,1124.1710205078125,719.8695678710938,1093.1812744140625,339.1468505859375,120.87815856933594,788.422119140625
2024-05-23,1163.357177734375,736.3468017578125,1116.2039794921875,341.0425720214844,121.64655303955078,801.277587890625
2024-05-24,1172.0928955078125,748.4827270507812,1113.695068359375,339.92510986328125,121.45445251464844,797.9072265625
2024-05-27,1185.07177734375,753.6627807617188,1111.579833984375,341.4317321777344,124.4319839477539,802.818359375
2024-05-28,1181.4776611328125,755.0441284179688,1108.775634765625,339.9649963378906,123.13531494140625,800.3628540039062
2024-05-29,1157.8660888671875,744.0921630859375,1084.2281494140625,336.8121032714844,122.99124145507812,792.1776733398438
2024-05-30,1166.052734375,747.3234252929688,1095.7393798828125,337.2610778808594,122.41494750976562,795.2590942382812
2024-05-31,1160.26220703125,755.5620727539062,1102.970947265625,335.3254089355469,124.33592987060547,799.5924072265625
2024-06-03,1221.911865234375,775.6160278320312,1141.292724609375,342.8385314941406,131.58766174316406,872.1032104492188
2024-06-04,1129.412353515625,731.684814453125,1054.170654296875,326.8544921875,110.79296875,746.4852905273438
2024-06-05,1182.575927734375,765.5520629882812,1090.7708740234375,342.8485107421875,117.03617858886719,760.4962768554688
2024-06-06,1169.0478515625,769.4493408203125,1092.49267578125,346.16107177734375,119.00519561767578,786.6887817382812
2024-06-07,1184.872314453125,776.183349609375,1103.6103515625,349.9525146484375,120.15778350830078,799.207275390625
2024-06-10,1198.0506591796875,770.2387084960938,1105.676513671875,348.3461608886719,120.38829803466797,800.9887084960938
2024-06-11,1192.659423828125,771.9653930664062,1100.1668701171875,343.2276611328125,121.15670013427734,804.5997924804688
2024-06-12,1185.970458984375,776.5780029296875,1101.4951171875,342.3795471191406,122.44376373291016,808.0182495117188
